,Reference,ManagingOrganizationReference,ManagingOrganizationDisplay
10,52195151-07a0-d762-d3a5-9163c0d82d37,Organization?identifier=https://github.com/synthetichealth/synthea|b3661782-f15b-3733-aec0-48bc100379f8,"STANLEY STREET TREATMENT AND RESOURCES, INC"
11,008bfb90-e56f-cad3-7e46-8d1fc43deef0,Organization?identifier=https://github.com/synthetichealth/synthea|23834663-ed53-3da9-b330-d6e1ecb8428e,"SOUTHCOAST HOSPITAL GROUP, INC"
12,09d07a51-8def-fe2b-edb8-70ce98b4d3cd,Organization?identifier=https://github.com/synthetichealth/synthea|5a5794d7-84aa-3346-9dd4-202e7059dd68,PCP170405
13,97630582-b548-37fe-eac2-5671c8128c62,Organization?identifier=https://github.com/synthetichealth/synthea|b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL
14,981a4d06-120c-4773-4af5-c435f6c9b2ae,Organization?identifier=https://github.com/synthetichealth/synthea|b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL
15,7a169e68-bf1a-0b2a-95bb-c50f8277fff5,Organization?identifier=https://github.com/synthetichealth/synthea|b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL
16,2c3479c5-8b98-bde8-e275-c7ac76558f89,Organization?identifier=https://github.com/synthetichealth/synthea|b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL
17,b34c258f-e106-0f3c-7ab1-6eaf18418b33,Organization?identifier=https://github.com/synthetichealth/synthea|ac8356a5-78f8-3a63-8a1e-59e832fd54e7,NASHOBA VALLEY MEDICAL CENTER
18,f8b18188-e1f3-96bf-bbb2-a1423255c0d3,Organization?identifier=https://github.com/synthetichealth/synthea|1eee58f9-f10d-3d2c-8752-380e35863aaf,PCP222354
19,5c5794e2-2f84-e6c8-2dbf-3998c120ab53,Organization?identifier=https://github.com/synthetichealth/synthea|b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH
20,fa656604-c006-702b-2fb1-c361d19b5b64,Organization?identifier=https://github.com/synthetichealth/synthea|f4e7709c-02f6-37ca-aeea-8247d74e88e7,WINCHESTER HOSPITAL
21,3b059a22-9e95-8c56-6ea9-965ee887ec3c,Organization?identifier=https://github.com/synthetichealth/synthea|72a10c1a-ee7c-3a01-97b1-33f63244c13e,Edith Nourse Rogers Memorial Veterans Hospital (Bedford VA)
22,47e69466-b73a-4275-5014-6ef4afc38078,Organization?identifier=https://github.com/synthetichealth/synthea|b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL
23,8fc90192-ea1d-482c-79db-1ca54d559adb,Organization?identifier=https://github.com/synthetichealth/synthea|b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL
24,2f5b9960-cd24-5e89-903e-1d4c614c5a67,Organization?identifier=https://github.com/synthetichealth/synthea|1bb7b497-035a-3900-b573-c43417841279,NEPHROLOGY ASSSOCIATES OF THE MERRIMACK VALLEY PC
25,35b3a81a-c47f-1515-4f00-6bcdb5394ce0,Organization?identifier=https://github.com/synthetichealth/synthea|b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL
26,a54e82a5-118c-4a0a-efd0-9b3b200a9d55,Organization?identifier=https://github.com/synthetichealth/synthea|b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL
27,9f4a5f18-cc07-39bc-5566-03a2b17f7e00,Organization?identifier=https://github.com/synthetichealth/synthea|b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL
28,813ae5fa-438d-806d-2c26-fd0028abb8b3,Organization?identifier=https://github.com/synthetichealth/synthea|b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL
29,adb8d36b-199f-87e9-b743-21d7aaedbf6c,Organization?identifier=https://github.com/synthetichealth/synthea|b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL
30,3007c10d-d416-ed6d-5a1f-0d39194f0cf6,Organization?identifier=https://github.com/synthetichealth/synthea|b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL
31,962f50d1-5dfc-eccb-f87f-4bfdfcf79344,Organization?identifier=https://github.com/synthetichealth/synthea|c1bf7bfd-7287-37cc-9836-cf77704c49a7,VHM SERVICES INC
32,23e1d5e9-7159-53c3-eb7f-0f43f4bc57ee,Organization?identifier=https://github.com/synthetichealth/synthea|24cb4eab-6166-3530-bddc-a5a8a14a4fc1,MILFORD REGIONAL MEDICAL CENTER
33,262d0e19-77f5-6953-7f15-f867066def6b,Organization?identifier=https://github.com/synthetichealth/synthea|24cb4eab-6166-3530-bddc-a5a8a14a4fc1,MILFORD REGIONAL MEDICAL CENTER
34,00ca6fe9-a92d-d80a-9d30-5adf81d2f966,Organization?identifier=https://github.com/synthetichealth/synthea|24cb4eab-6166-3530-bddc-a5a8a14a4fc1,MILFORD REGIONAL MEDICAL CENTER
35,6a67543c-12d5-15d5-7816-0d3af594a7d5,Organization?identifier=https://github.com/synthetichealth/synthea|90e78970-c3ed-39a9-8b9a-97700d39d21b,PCP25388
36,8332563d-a2bc-7262-c7d7-8fe00869af27,Organization?identifier=https://github.com/synthetichealth/synthea|ef6ab57c-ed94-3dbe-9861-812d515918b3,CAPE COD HOSPITAL
37,b6597226-9e9d-0c33-c968-181256ea9a9a,Organization?identifier=https://github.com/synthetichealth/synthea|6f122869-a856-3d65-8db9-099bf4f5bbb8,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON"
38,3a2c19ba-4330-df69-7306-a16f22d577b8,Organization?identifier=https://github.com/synthetichealth/synthea|fdc3af23-0b3a-315f-a120-57b689c7cf42,PCP19321
39,d00fb46d-2a91-1df2-8c11-4fe489efe202,Organization?identifier=https://github.com/synthetichealth/synthea|6f122869-a856-3d65-8db9-099bf4f5bbb8,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON"
40,4ea80961-02e0-d77c-cbd7-76988c9f8c43,Organization?identifier=https://github.com/synthetichealth/synthea|6f122869-a856-3d65-8db9-099bf4f5bbb8,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON"
41,1a8b2024-5506-2b11-d4ec-6ba656a2524b,Organization?identifier=https://github.com/synthetichealth/synthea|6f122869-a856-3d65-8db9-099bf4f5bbb8,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON"
42,731b210d-a529-ec25-92ea-e67e3e318fd3,Organization?identifier=https://github.com/synthetichealth/synthea|6f122869-a856-3d65-8db9-099bf4f5bbb8,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON"
43,b7fe7b7d-dcb5-ef36-b384-b5b29be30b47,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
44,fc36b5b4-bf7f-9a8b-c4c9-422980d1e9f8,Organization?identifier=https://github.com/synthetichealth/synthea|aafc7529-1a22-32ec-a06d-a6c6163c766e,PERFORMANCE REHABILITATION OF WESTERN NEW ENGLAND LLC
45,b0495132-a948-ade1-0d53-98f722016b46,Organization?identifier=https://github.com/synthetichealth/synthea|d692e283-0833-3201-8e55-4f868a9c0736,HALLMARK HEALTH SYSTEM
46,9cec4f01-32ab-e026-0bb2-be3957e053a1,Organization?identifier=https://github.com/synthetichealth/synthea|d692e283-0833-3201-8e55-4f868a9c0736,HALLMARK HEALTH SYSTEM
47,9f135dbf-6792-e30d-3594-ce07d129de1c,Organization?identifier=https://github.com/synthetichealth/synthea|d692e283-0833-3201-8e55-4f868a9c0736,HALLMARK HEALTH SYSTEM
48,6e4e8194-1c0c-ac9e-b4d8-7869e596a549,Organization?identifier=https://github.com/synthetichealth/synthea|e1053175-7c18-3f57-9814-3e77d8080c14,PCP905
49,945d4863-6a15-fdd5-d15c-6e11748773d9,Organization?identifier=https://github.com/synthetichealth/synthea|e1053175-7c18-3f57-9814-3e77d8080c14,PCP905
50,49173947-dd63-7198-8a42-e39bb0e80422,Organization?identifier=https://github.com/synthetichealth/synthea|ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL
51,9a82e176-25e4-1a9b-58ba-6d3a1352274a,Organization?identifier=https://github.com/synthetichealth/synthea|ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL
52,60b903cf-c4f7-0545-46bb-6be63ba5db05,Organization?identifier=https://github.com/synthetichealth/synthea|ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL
53,7c764b6d-e2f9-a5a3-60ab-4dda41860f1c,Organization?identifier=https://github.com/synthetichealth/synthea|ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL
54,caacf418-0423-5ff3-61b3-1cacf0f247e9,Organization?identifier=https://github.com/synthetichealth/synthea|a5279ffe-ed11-3c48-85ac-93eb2e3a37d7,GUARDIAN BROCKTON PC
55,bc92b826-fb81-e474-12c2-1a81686557a1,Organization?identifier=https://github.com/synthetichealth/synthea|226098a2-6a40-3588-b5bb-db56c3a30a04,GOOD SAMARITAN MEDICAL CENTER
56,a347479c-8651-25eb-6a4d-a0ce79637cfb,Organization?identifier=https://github.com/synthetichealth/synthea|226098a2-6a40-3588-b5bb-db56c3a30a04,GOOD SAMARITAN MEDICAL CENTER
57,3c47b3f2-f824-c9c0-946a-8fdc8d506ad4,Organization?identifier=https://github.com/synthetichealth/synthea|226098a2-6a40-3588-b5bb-db56c3a30a04,GOOD SAMARITAN MEDICAL CENTER
58,4145f6c9-d503-e534-4a61-8b429a7668ac,Organization?identifier=https://github.com/synthetichealth/synthea|226098a2-6a40-3588-b5bb-db56c3a30a04,GOOD SAMARITAN MEDICAL CENTER
59,63d4d3ff-1457-bd19-9abb-894474832687,Organization?identifier=https://github.com/synthetichealth/synthea|65583707-3e0a-35e3-8c0a-37df9efe0b23,PCP10332
60,6cd3b545-bc02-d658-aa2a-e7dfb0998871,Organization?identifier=https://github.com/synthetichealth/synthea|65583707-3e0a-35e3-8c0a-37df9efe0b23,PCP10332
61,b3fbb548-3f84-060c-faab-345489acad9a,Organization?identifier=https://github.com/synthetichealth/synthea|b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH
62,0176d979-bfce-eb72-b9d3-a231a184595b,Organization?identifier=https://github.com/synthetichealth/synthea|b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH
63,f97f9079-725a-2825-2e32-cba551449ba6,Organization?identifier=https://github.com/synthetichealth/synthea|f4e7709c-02f6-37ca-aeea-8247d74e88e7,WINCHESTER HOSPITAL
64,d0faa483-46bb-fcc1-b940-20dc57ecaf75,Organization?identifier=https://github.com/synthetichealth/synthea|f4e7709c-02f6-37ca-aeea-8247d74e88e7,WINCHESTER HOSPITAL
65,6f97a12a-91d7-05a3-2277-ea69ef179b31,Organization?identifier=https://github.com/synthetichealth/synthea|f4e7709c-02f6-37ca-aeea-8247d74e88e7,WINCHESTER HOSPITAL
66,f78d2b69-a9cd-1b7f-70b9-42416d698e73,Organization?identifier=https://github.com/synthetichealth/synthea|e8d8a9f4-f800-390b-84d3-2a3c2f802660,CARL GUSTAFSON LLC
67,76371700-3b01-a2b8-de6d-2f743b9cbcc4,Organization?identifier=https://github.com/synthetichealth/synthea|3d10019f-c88e-3de5-9916-6107b9c0263d,NEWTON-WELLESLEY HOSPITAL
68,ad667791-8991-6586-50ce-37b641b6b751,Organization?identifier=https://github.com/synthetichealth/synthea|3d10019f-c88e-3de5-9916-6107b9c0263d,NEWTON-WELLESLEY HOSPITAL
69,9a2966ff-f2df-8791-f104-7915d1d0e4f8,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
70,1359938f-766e-f582-fc30-d6faa70944c5,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
71,bf7d9ec2-0926-22fb-4862-19434d213fc7,Organization?identifier=https://github.com/synthetichealth/synthea|ac8356a5-78f8-3a63-8a1e-59e832fd54e7,NASHOBA VALLEY MEDICAL CENTER
72,cad7a604-b597-73b4-691d-dd8636f81d05,Organization?identifier=https://github.com/synthetichealth/synthea|b6cc5a2b-26bc-32df-ba4c-622162a8a584,PCP169387
73,7a318aae-5fa4-371c-7ea7-835ebf8a7ebf,Organization?identifier=https://github.com/synthetichealth/synthea|ac8356a5-78f8-3a63-8a1e-59e832fd54e7,NASHOBA VALLEY MEDICAL CENTER
74,7a9ea4f7-f9cc-acb2-a266-00bb627154b7,Organization?identifier=https://github.com/synthetichealth/synthea|ac8356a5-78f8-3a63-8a1e-59e832fd54e7,NASHOBA VALLEY MEDICAL CENTER
75,97982822-e247-b73f-ee7d-190df22ca8fc,Organization?identifier=https://github.com/synthetichealth/synthea|9fb8c6bc-bd85-34d7-84e6-d453d76bef64,PCP356252
76,bbfbc2a7-5562-12e0-80f1-172e3f30551c,Organization?identifier=https://github.com/synthetichealth/synthea|a9f20dc1-5147-3789-bcef-bbecb41c5983,HOLY FAMILY HOSPITAL
77,9a233ef2-38f8-2606-77cd-49d956a27c94,Organization?identifier=https://github.com/synthetichealth/synthea|18414176-20e6-3d19-8b99-2be506d05260,PCP59391
78,2cf9d773-fedf-397b-ef0d-4d29a062e824,Organization?identifier=https://github.com/synthetichealth/synthea|7fb56531-86bd-3e4a-8619-4df9942da309,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM
79,a264120b-b141-ec67-051b-6ff4e073893c,Organization?identifier=https://github.com/synthetichealth/synthea|7fb56531-86bd-3e4a-8619-4df9942da309,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM
80,27285dd7-91b8-37e0-4ae1-b105332244bc,Organization?identifier=https://github.com/synthetichealth/synthea|7fb56531-86bd-3e4a-8619-4df9942da309,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM
81,9fd626fa-df65-c28e-7ceb-aaf324139bc3,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
82,27953c03-79de-49d5-7b37-623ed0e8f63a,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
83,f17e7d59-7dae-ce07-e7da-24a40dbf07f2,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
84,6f8d428c-e19c-c255-defe-beaf7d0e7194,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
85,b0017180-039f-ac01-5299-0b8eb5242abd,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
86,be50c0fa-8d57-bc8d-0d66-88bc2924b9c4,Organization?identifier=https://github.com/synthetichealth/synthea|03347b4d-994e-302b-848b-58019a4e274d,EMERSON HOSPITAL -
87,bc9c56ba-00eb-ebbe-4025-20700f42eb10,Organization?identifier=https://github.com/synthetichealth/synthea|f99c74cc-7d1a-3f95-9a33-4a9357bf2f2a,UMASS MEMORIAL MEDICAL CENTER INC
88,d10effaf-4e8d-a4b7-5861-5b065752fc07,Organization?identifier=https://github.com/synthetichealth/synthea|03347b4d-994e-302b-848b-58019a4e274d,EMERSON HOSPITAL -
89,c3dd77c7-7d09-bef8-a0d5-e4fd95d9bb30,Organization?identifier=https://github.com/synthetichealth/synthea|1eaf97fa-9de6-38de-a9c4-6efe5dc574be,ST VINCENT HOSPITAL
90,fc3358f8-dd9f-abae-633c-4d35ef7e25a4,Organization?identifier=https://github.com/synthetichealth/synthea|03347b4d-994e-302b-848b-58019a4e274d,EMERSON HOSPITAL -
91,a0ece3a1-b1e7-932a-4e35-955c9e9d04ef,Organization?identifier=https://github.com/synthetichealth/synthea|27836bf9-d4b9-3f29-8ac1-fda68caf7f88,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION
92,359cc59b-c6dc-3849-2243-d8b4c6983c33,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
93,d446d78c-8cfc-e524-d61d-62e6cc0bde4e,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
94,92be5d54-07d9-5339-dda5-e6357aaf8c4b,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
95,0380acd0-1722-e1d6-4c47-ceed8f678f9e,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
96,67ec4acc-70b5-b3da-ed65-7ecb39ea3195,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
97,5d44293d-60e3-db90-883b-8858d973ba99,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
98,2c5d42d0-ac73-68dc-e9a4-b4d312df2e14,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
99,f0d77a9a-a455-b21c-b9a8-599a739bb137,Organization?identifier=https://github.com/synthetichealth/synthea|d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL
100,063538d4-b614-7c10-eadc-b72db7be319a,Organization?identifier=https://github.com/synthetichealth/synthea|4280a520-966f-3a69-8f11-b1cd1079f1a9,PCP80065
101,8459971f-0ed3-d7a8-9411-5064759a8c6a,Organization?identifier=https://github.com/synthetichealth/synthea|05462bf2-25d4-3ecd-afdf-bb3e1140929a,Causeway OPC
102,8e495b29-f87c-4882-90f3-a7ad01a3724d,Organization?identifier=https://github.com/synthetichealth/synthea|e002090d-4e92-300e-b41e-7d1f21dee4c6,CAMBRIDGE HEALTH ALLIANCE
103,4d22de69-8530-f6da-7d44-5a0a7dfc41fe,Organization?identifier=https://github.com/synthetichealth/synthea|f4e7709c-02f6-37ca-aeea-8247d74e88e7,WINCHESTER HOSPITAL
104,6138c5dc-25ac-5ad8-e9d6-5d9a770cf287,Organization?identifier=https://github.com/synthetichealth/synthea|f4e7709c-02f6-37ca-aeea-8247d74e88e7,WINCHESTER HOSPITAL
105,5a11761d-cf9c-1dea-e7b7-08437ded9841,Organization?identifier=https://github.com/synthetichealth/synthea|f4e7709c-02f6-37ca-aeea-8247d74e88e7,WINCHESTER HOSPITAL
106,acf145cc-a35d-6268-be3c-1881e71c1674,Organization?identifier=https://github.com/synthetichealth/synthea|5f3f1316-9911-3702-bf05-7db034c53b9d,HOLYOKE HEALTH CENTER INC.
107,a3377d81-9640-3558-6fc5-2c6b13f94d45,Organization?identifier=https://github.com/synthetichealth/synthea|5f3f1316-9911-3702-bf05-7db034c53b9d,HOLYOKE HEALTH CENTER INC.
108,68118fc8-ca9a-0ae4-dd6c-03a4c4a63e5b,Organization?identifier=https://github.com/synthetichealth/synthea|60457c13-adb2-3415-82c5-86ab5dab5f93,BAYSTATE MEDICAL CENTER
109,eba56d98-376b-7f60-c9ee-235815862857,Organization?identifier=https://github.com/synthetichealth/synthea|60457c13-adb2-3415-82c5-86ab5dab5f93,BAYSTATE MEDICAL CENTER
110,9cbca65b-4f4e-d53c-34eb-ba30ebe3817e,Organization?identifier=https://github.com/synthetichealth/synthea|fd328395-ab1d-35c6-a2d0-d05a9a79cf11,MERCY MEDICAL CTR
111,b3e962a9-fce8-e8ea-7409-9480bb12daa0,Organization?identifier=https://github.com/synthetichealth/synthea|60457c13-adb2-3415-82c5-86ab5dab5f93,BAYSTATE MEDICAL CENTER
112,90dd550b-61c7-f9ef-e8a4-37188bf50593,Organization?identifier=https://github.com/synthetichealth/synthea|60457c13-adb2-3415-82c5-86ab5dab5f93,BAYSTATE MEDICAL CENTER
113,de3e9025-7238-da4c-16d8-f7bcc7a27539,Organization?identifier=https://github.com/synthetichealth/synthea|60457c13-adb2-3415-82c5-86ab5dab5f93,BAYSTATE MEDICAL CENTER
114,b3872844-a801-2d04-f37c-d8fdd3250476,Organization?identifier=https://github.com/synthetichealth/synthea|ea26f841-7a69-3b1c-9246-827f31e5f750,"VALLEY CHIROPRACTIC AND REHABILITATION, LLC"
115,ccb25212-092d-46d1-f0b3-2545dff847d0,Organization?identifier=https://github.com/synthetichealth/synthea|5103c940-0c08-392f-95cd-446e0cea042a,SHRINERS' HOSPITAL FOR CHILDREN (THE)
116,117c5d98-0594-d4a8-5bc2-d677307305af,Organization?identifier=https://github.com/synthetichealth/synthea|fd328395-ab1d-35c6-a2d0-d05a9a79cf11,MERCY MEDICAL CTR
117,2499246e-05bc-7034-e617-43eaefe2cc5b,Organization?identifier=https://github.com/synthetichealth/synthea|fd328395-ab1d-35c6-a2d0-d05a9a79cf11,MERCY MEDICAL CTR
118,858b7a51-5b9e-77f0-26c9-70a48eb3194c,Organization?identifier=https://github.com/synthetichealth/synthea|be4c63f3-8d38-3fa9-a183-62045b5c85f6,"VA Boston Healthcare System, Jamaica Plain Campus"
119,67e947fe-5423-bcea-e583-2de099f6b306,Organization?identifier=https://github.com/synthetichealth/synthea|be4c63f3-8d38-3fa9-a183-62045b5c85f6,"VA Boston Healthcare System, Jamaica Plain Campus"
120,6ba6ec95-9978-8812-5ac5-1680f6d2e2c6,Organization?identifier=https://github.com/synthetichealth/synthea|be4c63f3-8d38-3fa9-a183-62045b5c85f6,"VA Boston Healthcare System, Jamaica Plain Campus"
121,59ad0672-ac05-2231-9c18-1d360105206f,Organization?identifier=https://github.com/synthetichealth/synthea|e002090d-4e92-300e-b41e-7d1f21dee4c6,CAMBRIDGE HEALTH ALLIANCE
122,64e9cbfc-1655-aba1-41a2-de6492c2bdf3,Organization?identifier=https://github.com/synthetichealth/synthea|e44f438a-601b-30fb-85eb-bfaf8ddcb5ad,HEYWOOD HOSPITAL -
123,96d2148f-685c-77e1-c859-5f22b852ddab,Organization?identifier=https://github.com/synthetichealth/synthea|33145183-be4b-3f49-809e-05a81cce7ecd,PCP34313
124,a1f7e7ed-f9b4-7738-139a-b6233e8f9076,Organization?identifier=https://github.com/synthetichealth/synthea|ef6ab57c-ed94-3dbe-9861-812d515918b3,CAPE COD HOSPITAL
125,0cb06f0a-34b9-03b5-9a34-c3f7eb47c5b7,Organization?identifier=https://github.com/synthetichealth/synthea|ef6ab57c-ed94-3dbe-9861-812d515918b3,CAPE COD HOSPITAL
126,4feaa8f7-5cf3-6e62-bae3-4a275273e664,Organization?identifier=https://github.com/synthetichealth/synthea|54799031-edf6-324e-8215-66500ec5fce4,PCP5308
127,46246c4c-022b-1c19-56bd-ee041dfc9729,Organization?identifier=https://github.com/synthetichealth/synthea|ef6ab57c-ed94-3dbe-9861-812d515918b3,CAPE COD HOSPITAL
128,013c15ff-e994-3b15-a63f-f8a1bcc1fc66,Organization?identifier=https://github.com/synthetichealth/synthea|ef6ab57c-ed94-3dbe-9861-812d515918b3,CAPE COD HOSPITAL
129,17738079-b49d-f69e-c4b2-f4131296aba2,Organization?identifier=https://github.com/synthetichealth/synthea|ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL
130,9a268422-085a-4561-cb6f-9a623bd017ef,Organization?identifier=https://github.com/synthetichealth/synthea|ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL
131,f879cf0d-7891-c35f-1525-4567b2a312f1,Organization?identifier=https://github.com/synthetichealth/synthea|cfefc3e1-bedd-379a-a1ff-33e84c2e39f9,PCP17060
132,5c85e202-a479-ec53-0d9d-281ced206523,Organization?identifier=https://github.com/synthetichealth/synthea|ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL
133,42290235-dbed-5dc9-db4b-3541d68eba02,Organization?identifier=https://github.com/synthetichealth/synthea|23834663-ed53-3da9-b330-d6e1ecb8428e,"SOUTHCOAST HOSPITAL GROUP, INC"
134,793010bf-fe0e-864d-e6de-57deaa3b7507,Organization?identifier=https://github.com/synthetichealth/synthea|ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL
135,b10c247a-da02-4f7a-edfa-47842d1bfb85,Organization?identifier=https://github.com/synthetichealth/synthea|23834663-ed53-3da9-b330-d6e1ecb8428e,"SOUTHCOAST HOSPITAL GROUP, INC"
136,30563653-9662-2f39-1c77-cca21085feaf,Organization?identifier=https://github.com/synthetichealth/synthea|ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL
137,7b8ef499-dfa8-2530-d3d1-10de3ef79ed0,Organization?identifier=https://github.com/synthetichealth/synthea|ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL
138,1430dfee-1f30-5cd9-4b63-69d15fbe74b3,Organization?identifier=https://github.com/synthetichealth/synthea|db0acede-4abe-3c01-8d03-5c68a190d8c7,SOUTH SHORE HOSPITAL
139,3bf0d336-5726-ca04-53e4-7229e2856413,Organization?identifier=https://github.com/synthetichealth/synthea|12c9daf5-a29c-36c9-ac55-28972463e566,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC
